ingredient_symnonym_id,word,code,ingredient_id
1656,연지만,A1244900000000,2931
1657,인지마,A1244900000000,2931
1658,석남,A1244900000000,2931
1659,백화패장,A1244900000000,2931
1660,마타리,A1244900000000,2931
1661,가암취,A1244900000000,2931
1662,골등골나물,A1245000000000,2932
1663,등골나무,A1245000000000,2932
1664,향등골나무,A1245000000000,2932
1665,파두상,A1245100000000,2933
1666,파근육,A1245200000000,2934
1667,백창,A1245300000000,2935
1668,향포,A1245300000000,2935
1669,왕창포,A1245300000000,2935
1670,수창포,A1245300000000,2935
1671,삼삼칠나무,A1245400000000,2936
1672,금궁화,A1245600000000,2938
1673,금잔은대,A1245600000000,2938
1674,내미,A1245600000000,2938
1675,왕부류,A1245600000000,2938
1676,맥람자,A1245600000000,2938
1677,전금화,A1245600000000,2938
1678,자미,A1245700000000,2939
1679,백일홍,A1245700000000,2939
1680,자미목,A1245700000000,2939
1681,자형화,A1245700000000,2939
1682,만당홍,A1245700000000,2939
1683,해당수,A1245700000000,2939
1684,양양수,A1245700000000,2939
1685,양양화,A1245700000000,2939
1686,목백일홍,A1245700000000,2939
1687,자미화,A1245700000000,2939
1688,자미근,A1245700000000,2939
1689,요한초,A1246100000000,2943
1690,성요한의 풀,A1246100000000,2943
1691,화분,A1246200000000,2944
1692,Pollen,A1246200000000,2944
1693,옌워,A1246300000000,2945
1694,연와,A1246300000000,2945
1695,잔잎쑥,A1246400000000,2946
1696,개땅쑥,A1246400000000,2946
1697,북한련,A1246500000000,2947
1698,먼나무,A1246800000000,2950
1699,셀러리아크,A1247000000000,2952
1700,뿌리셀러리,A1247000000000,2952
1701,달걀,B01020100FH000,3201
1702,계란,B01020100FH000,3201
1703,이스라엘잉어,B0201090000000,3386
1704,독일잉어,B0201090000000,3386
1705,이스라엘잉어활,B0201090006000,3387
1706,독일잉어활,B0201090006000,3387
1707,이스라엘잉어신선냉장,B0201090007000,3388
1708,독일잉어신선냉장,B0201090007000,3388
1709,이스라엘잉어냉동,B0201090008000,3389
1710,독일잉어냉동,B0201090008000,3389
1711,이스라엘잉어냉동,B0201090036000,3390
1712,독일잉어냉동,B0201090036000,3390
1713,페헤레이,B0201310000000,3497
1714,페헤레이활,B0201310006000,3498
1715,페헤레이신선냉장,B0201310007000,3499
1716,페헤레이냉동,B0201310008000,3500
1717,페헤레이냉동,B0201310036000,3501
1718,뭉치다래,B0203020900000,3677
1719,뭉치다래활,B0203020906000,3678
1720,뭉치다래신선냉장,B0203020907000,3679
1721,뭉치다래냉동,B0203020908000,3680
1722,뭉치다래냉동,B0203020936000,3681
1723,밀크피쉬,B0203B00000000,4981
1724,Black sea bass활,B0203BG0006000,5076
1725,Black sea bass신선냉장,B0203BG0007000,5077
1726,Black sea bass냉동,B0203BG0008000,5078
1727,Black sea bass냉동,B0203BG0036000,5079
1728,민물가재,B0205040000000,5242
1729,민물가재,Y00000000006EB,5243
1730,민물가재,Y00000000006EC,5244
1731,민물가재,Y00000000006ED,5245
1732,민물가재,Y00000000006EE,5246
1733,남빙양새우,B0205060000000,5256
1734,난바다곤쟁이,B0205060000000,5256
1735,남빙양새우활,B0205060006000,5257
1736,난바다곤쟁이활,B0205060006000,5257
1737,남빙양새우신선냉장,B0205060007000,5258
1738,난바다곤쟁이신선냉장,B0205060007000,5258
1739,남빙양새우냉동,B0205060008000,5259
1740,난바다곤쟁이냉동,B0205060008000,5259
1741,남빙양새우냉동,B0205060036000,5260
1742,난바다곤쟁이냉동,B0205060036000,5260
1743,고막,B0206010300000,5286
1744,고막,Y00000000006F7,5287
1745,고막,Y00000000006F8,5288
1746,고막활,B0206010306000,5289
1747,고막신선냉장,B0206010307000,5290
1748,고막냉동,B0206010308000,5291
1749,고막냉동,B0206010336000,5292
1750,쭈꾸미,B0206020600000,5556
1751,쭈꾸미활,B0206020606000,5557
1752,쭈꾸미신선냉장,B0206020607000,5558
1753,쭈꾸미냉동,B0206020608000,5559
1754,쭈꾸미냉동,B0206020636000,5560
1755,우렁쉥이,B0208010000000,5619
1756,우렁쉥이활,B0208010006000,5620
1757,우렁쉥이신선냉장,B0208010007000,5621
1758,우렁쉥이냉동,B0208010008000,5622
1759,우렁쉥이냉동,B0208010036000,5623
1760,오만둥이,B0208030000000,5634
1761,오만둥이활,B0208030006000,5635
1762,오만둥이신선냉장,B0208030007000,5636
1763,오만둥이냉동,B0208030008000,5637
1764,오만둥이냉동,B0208030036000,5638
1765,쨈,C0104010000000,5707
1766,사과쨈,C0104010001813,5709
1767,포도쨈,C0104010002813,5710
1768,딸기잼,C0104010003813,5711
1769,홍화씨분말,C0114070000813,5777
